text_id,text,linenumber
cn29,"`` Bastards '' , he would say , `` all I did was put a beat to that Vivaldi stuff , and the first chair clobbered me '' !",1
cn29,"Since then , and since the pure grain had gotten him divorced from every decent -- and even indecent -- group from Greenwich Village to the Embarcadero , he had become a sucker-rolling freight-jumper .",2
cn29,"`` There ain't nothin' faster , or lonelier , or more direct than a cannonball freight when you wanna go someplace '' , Feathertop would say .",3
cn29,"`` The accommodations may not be the poshest , but man !",4
cn29,"There ain't nobody askin' for your ticket stub , neither '' .",5
cn29,"He had been conning the freights for a long , long time now .",6
cn29,"Ever since the hooch , and the trouble with the Quartet , and Midge and the child .",7
cn29,Ever since all that .,8
cn29,It had been a very long time that had no form and no end .,9
cn29,He was -- as he told himself in the vernacular of a trade no longer his own -- riding the dark train out .,10
cn29,Out and out and never to return again .,11
cn29,"Till one day the last freight had been jumped , the last pint had been killed , the last beat had been rapped .",12
cn29,That was the day it ended .,13
cn29,"The freight car was cold , early in the morning .",14
cn29,"He was pressed far back into the corner of the car on his hay sacks , the rattling and tinning of the wheels on the rails almost covering the sound of his ocarina .",15
cn29,"He held his elbows away from his body , and the little sweet potato trilled neatly and sweetly as he tickled its tune-belly .",16
cn29,"The train slowed at a road crossing , and the big door slid open ; ; at first gratingly , caught by grains of corn -- then with a clash into its slot .",17
cn29,The boy lifted the girl by the waist and set her on the lip of the floor .,18
cn29,"She pulled her legs up under her , to rise , her full peasant skirt drawing up her thighs , and Feathertop's music pfffted away .",19
cn29,"`` Now that is a very nice , a very nice '' , he murmured to himself , back in his corner .",20
cn29,"A little thing , but the right twist for the action that counted .",21
cn29,"Hot , that was the word , hot !",22
cn29,"Hair like a morning-frightened sparrow's wings , with the sun shining down over them .",23
cn29,"A poet , yet !",24
cn29,"His thoughts for the swanlike neck , the full , high breasts , the slim waist , and the long legs were less than poetic , however .",25
cn29,Zingggg-O !,26
cn29,"Then the boy straight-armed himself up , twisting at the last moment so he landed sitting .",27
cn29,"He was less to see , but Feathertop took him in , too , just to keep the records straight .",28
cn29,"Curly hair , high cheekbones , wide gnomelike mouth , a pair of drummer's blocky hands , and a body that said well , maybe I can wrestle you for ten minutes -- but then I'm finished .",29
cn29,"`` We made it , Cappy '' , the chick said .",30
cn29,"`` Yeah , seems so , don't it '' , the boy laughed , hugging her close .",31
cn29,`` Ah-ah '' !,32
cn29,"Feathertop interrupted , standing up , brushing the pig offal from his dirty pants .",33
cn29,`` None of that .,34
cn29,We run a respectable house here '' .,35
cn29,"They whirled and saw him , standing there dim in the slatted light from the boarded freight wall .",36
cn29,"He was big , and filthy , and his toes stuck out of the flapping tops of his shoes .",37
cn29,He held the black plastic kazoo lightly .,38
cn29,"`` Come sit '' , said Feathertop , motioning them toward him .",39
cn29,`` That crap is softer over here '' .,40
cn29,"The girl smiled , and started forward .",41
cn29,"The boy yanked her back hard , tugging her off her feet , and gathered her into the crook of his arm .",42
cn29,"`` Now stay with me , Kitty '' , he snapped irritably .",43
cn29,`` I vowed to take care of you -- and that's what I'm gonna do .,44
cn29,We don't know this guy '' .,45
cn29,"`` Oooo , square bit '' , Feathertop screwed his face up .",46
cn29,This guy was strictly from Outsville .,47
cn29,But nowhere !,48
cn29,`` What is with this vow jazz '' ?,49
cn29,"Feathertop inquired , lounging against the freight's vibrating wall .",50
cn29,"`` We -- we eloped '' , Cappy said .",51
cn29,His head came up and he said it defiantly .,52
cn29,"`` Well , congratulations '' .",53
cn29,Feathertop made an elaborate motion with his hand .,54
cn29,These two were going to be easy pickins .,55
cn29,"They couldn't have much dough , but then none of the freight-bums Feathertop rolled had much .",56
cn29,"And besides , the chick had a little something the others didn't have .",57
cn29,That was gonna be fun collecting !,58
cn29,But not just yet .,59
cn29,Feathertop was a connoisseur .,60
cn29,He liked to savor his meat before he tasted it .,61
cn29,"`` Come sit '' , he repeated , motioning to the piled hay bags , over the pig leavings .",62
cn29,"`` I'm just a poor ex-jazz man , name of -- uh -- Boyd Smith '' .",63
cn29,He grinned at them wolfishly .,64
cn29,"`` That ain't your name , Mister '' , the boy accused .",65
cn29,`` And you know -- you're right '' !,66
cn29,Feathertop aimed a finger at him .,67
cn29,"`` Oh , come on , Cappy '' , the girl chided .",68
cn29,`` He's okay .,69
cn29,He's a nice guy '' .,70
cn29,"She started to move toward the hay bags , dragging the reluctant Cappy behind her .",71
cn29,"Feathertop watched the smooth scissoring of her slim , trim legs as she walked to the bags , and tucked them beneath her , smoothing the skirt out in a wide circle .",72
cn29,"He cleared his throat ; ; it had been a long , hot while since he'd seen anything as nice as this within grabbin' distance .",73
cn29,"He had it all doped , of course .",74
cn29,"Slug the kid , grab his dough -- at least enough to get to Philadelphia -- and then have a rockin' ball with the doll .",75
cn29,Hmm -- diddle !,76
cn29,"`` Where'd you come from , Mr. -- uh -- Mr. Smith '' ?",77
cn29,Kitty inquired politely .,78
cn29,`` Where from '' ?,79
cn29,He mused .,80
cn29,`` Out .,81
cn29,I been riding train for a ways now '' .,82
cn29,"They lapsed into silence , and the freight wallowed up a hill , scooted down the other side , shaking and clanking to itself .",83
cn29,"After a while , Kitty murmured something to Cappy , and he held her close , answering , `` We'll just have to wait till we pull into Philly , honey '' .",84
cn29,"`` What's the matter , she wanna go the bathroom '' ?",85
cn29,Ernie found it immensely funny .,86
cn29,"The boy scowled at him , and the girl looked shocked .",87
cn29,`` No !,88
cn29,"Certainly not , I mean , no that isn't what I said '' !",89
cn29,She snapped at him .,90
cn29,`` I only said I was hungry .,91
cn29,We haven't had anything to eat all day '' .,92
